,context_recall,faithfulness,factual_correctness,answer_relevancy,experiment_name
8,1.0,0.5,0.4,0.0,naive_chunker_multi_query
9,1.0,1.0,0.78,0.9716038700753646,naive_chunker_multi_query
10,1.0,1.0,0.73,0.9319208750833129,naive_chunker_multi_query
11,1.0,1.0,0.65,0.9904232777414502,naive_chunker_multi_query
12,1.0,1.0,0.8,0.9782427820012595,naive_chunker_multi_query
13,1.0,0.0,0.0,0.0,naive_chunker_multi_query
14,1.0,0.5909090909090909,0.84,0.924492810394808,naive_chunker_multi_query
15,1.0,0.7857142857142857,0.86,0.922258162251508,naive_chunker_multi_query
16,1.0,0.8,0.63,0.9519930277255061,naive_chunker_multi_query
17,1.0,0.92,0.83,0.913112053693251,naive_chunker_multi_query
18,0.3333333333333333,0.0,0.0,0.0,naive_chunker_multi_query
19,0.8,0.7777777777777778,0.8,0.9472897734299363,naive_chunker_multi_query
20,1.0,1.0,0.85,0.9698085285872935,naive_chunker_multi_query
21,1.0,1.0,0.95,0.9902242920124055,naive_chunker_multi_query
0,0.3333333333333333,1.0,0.71,0.8997712133163484,markdown_chunker_cosine
1,0.5,1.0,0.38,0.9053028361506851,markdown_chunker_cosine
2,1.0,1.0,0.94,0.8420818943535973,markdown_chunker_cosine
3,1.0,1.0,0.45,0.9634787046820715,markdown_chunker_cosine
4,1.0,1.0,0.88,0.9769445052433435,markdown_chunker_cosine
5,0.4,0.9285714285714286,0.58,0.9926092291815231,markdown_chunker_cosine
6,1.0,0.75,0.83,0.9797170607738526,markdown_chunker_cosine
7,0.4,1.0,0.61,0.9738465751081238,markdown_chunker_cosine
8,0.3333333333333333,0.8461538461538461,0.7,0.8970418238475056,markdown_chunker_cosine
9,1.0,0.8888888888888888,0.77,0.9716284036214452,markdown_chunker_cosine
10,1.0,1.0,0.76,0.9494899761127399,markdown_chunker_cosine
11,0.42857142857142855,1.0,0.4,0.9725897503604738,markdown_chunker_cosine
12,0.6,0.9333333333333333,0.74,0.9782478017328259,markdown_chunker_cosine
13,0.4,0.0,0.0,0.0,markdown_chunker_cosine
14,0.25,0.0,0.0,0.0,markdown_chunker_cosine
15,0.5,0.68,0.71,0.9357121845994879,markdown_chunker_cosine
16,0.75,0.85,0.67,0.9460420602561083,markdown_chunker_cosine
17,0.4,0.3888888888888889,0.6,0.8704129601890161,markdown_chunker_cosine
18,0.3333333333333333,0.7857142857142857,0.5,0.9617644223832572,markdown_chunker_cosine
19,0.6,0.6521739130434783,0.58,0.945647583187645,markdown_chunker_cosine
20,0.5,0.7272727272727273,0.47,0.9601739011888805,markdown_chunker_cosine
21,0.4,1.0,0.44,,markdown_chunker_cosine
0,0.3333333333333333,1.0,0.67,0.992224072030011,markdown_chunker_multi_query
1,0.5,1.0,0.0,0.8301851975042759,markdown_chunker_multi_query
2,1.0,1.0,0.71,0.8547557862080982,markdown_chunker_multi_query
3,0.5,1.0,0.33,0.9619614897098624,markdown_chunker_multi_query
4,1.0,0.9166666666666666,0.44,,markdown_chunker_multi_query
5,0.4,0.8333333333333334,0.29,0.9929377182347988,markdown_chunker_multi_query
6,1.0,0.7272727272727273,0.87,0.9797220278760004,markdown_chunker_multi_query
7,0.4,1.0,0.65,0.9540618315016595,markdown_chunker_multi_query
8,0.6666666666666666,,0.76,0.9135335909686514,markdown_chunker_multi_query
9,1.0,1.0,1.0,0.9694250381103985,markdown_chunker_multi_query
10,1.0,1.0,0.57,0.94931840707909,markdown_chunker_multi_query
11,0.5714285714285714,1.0,0.75,0.9761085828577655,markdown_chunker_multi_query
12,0.6,1.0,0.72,0.9782478017328259,markdown_chunker_multi_query
13,0.4,1.0,0.52,0.8946407762763258,markdown_chunker_multi_query
14,0.75,0.8260869565217391,,0.931070272356446,markdown_chunker_multi_query
15,0.5,0.5238095238095238,0.51,0.9420389397640142,markdown_chunker_multi_query
16,1.0,0.782608695652174,0.7,0.9415335343721204,markdown_chunker_multi_query
17,1.0,0.5294117647058824,0.84,0.8849530947945009,markdown_chunker_multi_query
18,0.5,0.46153846153846156,0.48,0.9296414170409167,markdown_chunker_multi_query
19,0.8,1.0,0.71,0.9490856367951777,markdown_chunker_multi_query
20,0.5,0.5625,0.74,0.9773949163574791,markdown_chunker_multi_query
21,0.8,0.8,0.76,0.9729870093202218,markdown_chunker_multi_query
